x	y	cell
2506994.4200	736115.4290	2167.0000
2507051.1000	736068.8150	2171.0000
2506272.9500	736662.8420	2214.0000
2506307.0600	736645.0260	2219.0000
2506314.4100	736648.0150	2220.0000
2506335.7600	736649.7610	2223.0000
2506342.7000	736652.5290	2224.0000
2506353.2000	736644.1530	2226.0000
2506373.4400	736645.8150	2229.0000
2506379.2800	736647.3860	2230.0000
2506428.1300	736631.6580	2239.0000
2506465.1600	736615.3190	2246.0000
2506471.9000	736614.8690	2247.0000
2506494.0100	736607.1470	2251.0000
2506500.4500	736607.4400	2252.0000
2506584.2900	736542.9180	2267.0000
2506589.0400	736536.0190	2268.0000
2506593.8900	736529.1870	2269.0000
2506598.3300	736522.3140	2270.0000
2506604.7300	736515.5470	2271.0000
2506610.5900	736508.7600	2272.0000
2506861.4900	736228.0740	2322.0000
2506871.0700	736216.2470	2323.0000
2506881.1400	736204.4270	2324.0000
2506891.6900	736192.6210	2325.0000
2506902.6800	736180.8320	2326.0000
2506914.0900	736169.0590	2327.0000
2506925.8900	736157.3020	2328.0000
2506963.3900	736122.1240	2331.0000
2506976.5200	736110.4260	2332.0000
2506989.9400	736098.7400	2333.0000
2507046.0900	736052.1110	2337.0000
2506227.4600	736655.0620	2378.0000
2506291.6100	736645.8940	2386.0000
2506299.4900	736641.4210	2387.0000
2506308.4000	736638.7670	2388.0000
2506315.1600	736641.4490	2389.0000
2506321.9800	736644.2390	2390.0000
2506333.5300	736642.4590	2392.0000
2506340.6400	736644.8670	2393.0000
2506347.1200	736641.8510	2394.0000
2506367.7200	736643.8370	2398.0000
2506408.7800	736626.9080	2406.0000
2506415.0200	736628.3690	2407.0000
2506421.3600	736629.8010	2408.0000
2506426.9400	736625.3730	2409.0000
2506458.4100	736615.6360	2415.0000
2506459.7000	736609.7650	2416.0000
2506480.2800	736608.3170	2419.0000
2506487.1600	736607.7670	2420.0000
2506490.9000	736601.4150	2421.0000
2506576.1300	736542.1050	2437.0000
2506580.7300	736535.2500	2438.0000
2506585.6200	736528.5330	2439.0000
2506590.1000	736521.7650	2440.0000
2506596.5200	736515.1010	2441.0000
2506602.4400	736508.4130	2442.0000
2506604.7300	736501.6160	2443.0000
2506605.3700	736494.8760	2444.0000
2506611.9900	736493.8520	2445.0000
2506783.7000	736339.6320	2482.0000
2506867.0800	736200.1550	2495.0000
2506877.1500	736188.3010	2496.0000
2506887.6700	736176.4620	2497.0000
2506898.6000	736164.6410	2498.0000
2506909.9400	736152.8370	2499.0000
2506921.6600	736141.0490	2500.0000
2506933.7300	736129.2790	2501.0000
2506946.1400	736117.5260	2502.0000
2506958.8600	736105.7890	2503.0000
2506971.8800	736094.0670	2504.0000
2506985.1800	736082.3590	2505.0000
2507179.5900	735911.5240	2519.0000
2506291.5100	736638.7340	2560.0000
2506296.3700	736633.8470	2561.0000
2506302.7600	736635.4940	2562.0000
2506307.9300	736631.9000	2563.0000
2506314.2100	736634.6030	2564.0000
2506320.6100	736637.1990	2565.0000
2506327.0400	736639.8100	2566.0000
2506330.4400	736635.1190	2567.0000
2506336.3700	736637.5680	2568.0000
2506341.9300	736638.9620	2569.0000
2506354.5700	736633.1600	2572.0000
2506396.3800	736623.9460	2580.0000
2506402.5700	736625.4370	2581.0000
2506420.6200	736623.9550	2584.0000
2506445.2500	736615.8250	2588.0000
2506452.2800	736610.6740	2589.0000
2506568.0400	736541.1990	2611.0000
