"","(E_lengths - CUFA_nomin_lengths)/E_lengths * 100"
"41818",22.2222222222222
"42077",20
"42218",0
"42358",20
"42490",22.2222222222222
"42627",22.2222222222222
"42888",20
"42961",28.5714285714286
"42998",16.6666666666667
"43109",16.6666666666667
"43308",0
"43361",22.2222222222222
"43436",0
"43442",0
"43511",30
"43513",20
"43514",20
"43515",0
"43516",20
"43517",22.2222222222222
"2",0
"37",0
"87",0
"132",0
"133",0
"134",0
"148",0
"175",0
"181",0
"191",0
"239",0
"249",0
"318",0
"332",0
"344",0
"368",0
"371",0
"376",0
"412",0
"425",0
"433",0
"449",0
"459",0
"518",0
"548",0
"572",0
"595",0
"650",0
"656",0
"660",0
"661",0
"736",0
"739",0
"750",0
"752",0
"755",0
"786",0
"826",0
"827",0
"830",0
"833",0
"877",0
"878",0
"879",0
"895",0
"917",0
"919",0
"928",0
"961",0
"971",0
"1014",0
"1053",0
"1169",0
"1202",0
"1203",0
"1204",0
"1218",0
"1295",0
"1297",0
"1302",0
"1309",0
"1310",0
"1314",0
"1324",0
"1340",0
"1341",0
"1384",0
"1393",0
"1394",0
"1419",0
"1434",0
"1484",0
"1491",0
"1494",0
"1514",0
"1515",0
"1552",0
"1595",0
"1599",0
"1627",0
"1674",0
"1676",0
"1680",0
"1691",0
"1693",0
"1723",0
"1770",0
"1776",0
"1781",0
"1802",0
"1868",0
"1873",0
"1883",0
"1893",0
"1899",0
"1963",0
"1968",0
"1970",0
"1974",0
"1979",0
"1981",0
"1995",0
"1996",0
"2017",0
"2019",0
"2037",0
"2059",0
"2090",0
"2117",0
"2133",0
"2154",0
"2156",0
"2163",0
"2169",0
"2174",0
"2186",0
"2187",0
"2212",0
"2251",0
"2259",0
"2263",0
"2308",0
"2328",0
"2366",0
"2378",0
"2379",0
"2421",0
"2445",0
"2446",0
"2459",0
"2466",0
"2467",0
"2474",0
"2476",0
"2477",0
"2491",0
"2555",0
"2561",0
"2570",0
"2573",0
"2575",0
"2576",0
"2610",0
"2667",0
"2675",0
"2676",0
"2700",0
"2711",0
"2716",0
"2748",0
"2755",0
"2774",0
"2780",0
"2814",0
"2831",0
"2863",0
"2869",0
"2872",0
"2882",0
"2884",0
"2893",0
"2912",0
"2959",0
"2975",0
"2979",0
"2988",0
"2990",0
"2992",0
"3009",0
"3015",0
"3023",0
"3026",0
"3035",0
"3092",0
"3101",0
"3102",0
"3104",0
"3105",0
"3106",0
"3122",0
"3130",0
"3141",0
"3181",0
"3183",0
"3217",0
"3218",0
"3219",0
"3233",0
"3272",0
"3296",0
"3331",0
"3332",0
"3427",0
"3482",0
"3547",0
"3555",0
"3629",0
"3632",0
"3666",0
"3671",0
"3696",0
"3743",0
"3745",0
"3777",0
"3811",0
"3857",0
"3870",0
"3888",0
"3933",0
"3935",0
"3938",0
"3940",0
"3948",0
"3952",0
"3972",0
"3973",0
"3980",0
"3982",0
"3986",0
"4017",0
"4027",0
"4039",0
"4041",0
"4092",0
"4095",0
"4124",0
"4125",0
"4129",0
"4145",0
"4159",0
"4195",0
"4213",0
"4243",0
"4246",0
"4283",0
"4331",0
"4332",0
"4361",0
"4362",0
"4379",0
"4399",0
"4412",0
"4449",0
"4450",0
"4454",0
"4456",0
"4459",0
"4467",0
"4480",0
"4481",0
"4484",0
"4541",0
"4560",0
"4571",0
"4582",0
"4587",0
"4601",0
"4602",0
"4607",0
"4642",0
"4667",0
"4669",0
"4690",0
"4707",0
"4708",0
"4721",0
"4722",0
"4727",0
"4778",0
"4811",0
"4820",0
"4829",0
"4844",0
"4896",0
